电影名,图片连接,电影评分,评价人数,内容简介
釜山行, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg, 8.5, 737650人评价, 揭露人性的丧尸题材力作。
雨人, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p942376281.jpg, 8.7, 297226人评价, 生活在自己的世界里，也可以让周围的人显得可笑和渺小。
忠犬八公物语, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1576418852.jpg, 9.2, 122003人评价, 养狗三日，便会对你终其一生。
头脑特工队, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg, 8.7, 395809人评价, 愿我们都不用长大，每一座城堡都能永远存在。
模仿游戏, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg, 8.7, 410218人评价, 他给机器起名“克里斯托弗”，因为这是他初恋的名字。
一个叫欧维的男人决定去死, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg, 8.8, 240945人评价, 惠及一生的美丽。
黑客帝国3：矩阵革命, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg, 8.7, 277572人评价, 不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
你看起来好像很好吃, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg, 8.9, 234178人评价, 感情不分食草或者食肉。
无敌破坏王, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg, 8.7, 359965人评价, 迪士尼和皮克斯拿错剧本的产物。
未麻的部屋, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg, 8.9, 175865人评价, 好的剧本是，就算你猜到了结局也猜不到全部。
恋恋笔记本, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg, 8.5, 446420人评价, 爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
冰川时代, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg, 8.6, 434521人评价, 松鼠才是角儿。
海边的曼彻斯特, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg, 8.6, 336859人评价, 我们都有权利不与自己的过去和解。
二十二, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg, 8.7, 201935人评价, 有一些东西不应该被遗忘。
海街日记, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2232247487.jpg, 8.8, 259167人评价, 是枝裕和的家庭习作。
哈利·波特与阿兹卡班的囚徒, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg, 8.6, 353688人评价, 不一样的导演，不一样的哈利·波特。
虎口脱险, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg, 8.9, 160895人评价, 永远看不腻的喜剧。
新世界, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg, 8.8, 209024人评价, 要做就做得狠一点，这样才能活下去。
房间, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg, 8.8, 268833人评价, 被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
雨中曲, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg, 9.0, 141092人评价, 骨灰级歌舞片。
恐怖游轮, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg, 8.5, 535049人评价, 不要企图在重复中寻找已经失去的爱。
人工智能, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg, 8.6, 297436人评价, 对爱的执着，可以超越一切。
魔女宅急便, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg, 8.6, 318247人评价, 宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
惊魂记, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg, 8.9, 152985人评价, 故事的反转与反转，分裂电影的始祖。
哈利·波特与密室, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg, 8.6, 372471人评价, 魔法的密室之门已打开...
海洋, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559581324.jpg, 9.1, 125942人评价, 大海啊，不全是水。
奇迹男孩, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg, 8.6, 389929人评价, 世界不完美，爱会有奇迹。
疯狂的石头, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg, 8.4, 540849人评价, 中国版《两杆大烟枪》。
罗生门, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2564689879.jpg, 8.8, 206151人评价, 人生的N种可能性。
燃情岁月, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg, 8.8, 206449人评价, 传奇，不是每个人都可以拥有。
终结者2：审判日, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg, 8.7, 239146人评价, 少见的超越首部的续集，动作片中的经典。
穿越时空的少女, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg, 8.6, 282761人评价, 爱上未来的你。 
魂断蓝桥, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg, 8.8, 187703人评价, 中国式内在的美国电影。
爱在午夜降临前, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg, 8.8, 207623人评价, 所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
初恋这件小事, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p767451487.jpg, 8.4, 725990人评价, 黑小鸭速效美白记。
可可西里, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414771522.jpg, 8.8, 198204人评价, 坚硬的信仰。
2001太空漫游, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg, 8.8, 187203人评价, 现代科幻电影的开山之作，最伟大导演的最伟大影片。
完美陌生人, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg, 8.5, 382852人评价, 来啊，互相伤害啊！
牯岭街少年杀人事件, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg, 8.8, 173392人评价, 弱者送给弱者的一刀。
绿里奇迹, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg, 8.8, 179085人评价, 天使暂时离开。
小偷家族, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg, 8.7, 547172人评价, 我们组成了家。
阿飞正传, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg, 8.5, 338421人评价, 王家卫是一种风格，张国荣是一个代表。
香水, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2441127736.jpg, 8.5, 403805人评价, 一个单凭体香达到高潮的男人。
无耻混蛋, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.jpg, 8.6, 337777人评价, 昆汀同学越来越变态了，比北野武还杜琪峰。
谍影重重2, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg, 8.6, 248988人评价, 谁说王家卫镜头很晃？
猜火车, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513567548.jpg, 8.5, 330244人评价, 不可猜的青春迷笛。 
新龙门客栈, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg, 8.6, 301280人评价, 嬉笑怒骂，调风动月。
谍影重重, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg, 8.6, 297719人评价, 哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
战争之王, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg, 8.6, 251645人评价, 做一颗让别人需要你的棋子。
青蛇, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p584021784.jpg, 8.5, 346729人评价, 人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
源代码, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg, 8.4, 579922人评价, 邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
地球上的星星, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg, 8.9, 140968人评价, 天使保护事件始末。
城市之光, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg, 9.3, 81015人评价, 永远的小人物，伟大的卓别林。
血钻, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg, 8.6, 237731人评价, 每个美丽事物背后都是滴血的现实。
浪潮, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.jpg, 8.7, 194294人评价, 世界离独裁只有五天。
朗读者, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg, 8.5, 358850人评价, 当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
彗星来的那一夜, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg, 8.5, 335358人评价, 小成本大魅力。
步履不停, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561539680.jpg, 8.8, 167585人评价, 日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
疯狂的麦克斯4：狂暴之路, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg, 8.6, 348508人评价, “多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
遗愿清单, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p708613284.jpg, 8.6, 242333人评价, 用剩余不多的时间，去燃烧整个生命。
色，戒, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg, 8.4, 448213人评价, 假戏真情，爱欲深海
大佛普拉斯, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg, 8.7, 248971人评价, 人们可以登上月球，却永远无法探索人们内心的宇宙。
再次出发之纽约遇见你, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg, 8.5, 284860人评价, 爱我就给我看你的播放列表。
小萝莉的猴神大叔, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.jpg, 8.4, 330722人评价, 宝莱坞的萝莉与大叔。
追随, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561545031.jpg, 8.9, 124570人评价, 诺兰的牛逼来源于内心散发出的恐惧。
东京物语, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1925331564.jpg, 9.2, 85417人评价, 东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
聚焦, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263822658.jpg, 8.8, 198307人评价, 新闻人的理性求真。
一次别离, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189835254.jpg, 8.7, 188320人评价, 只有有信仰的人才能说出事实真相。
驴得水, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.jpg, 8.3, 621146人评价, 过去的如果就让它过去了，未来只会越来越糟！
黑鹰坠落, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910900710.jpg, 8.7, 198292人评价, 还原真实而残酷的战争。
我爱你, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075591188.jpg, 9.0, 101684人评价, 你要相信，这世上真的有爱存在，不管在什么年纪 
发条橙, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p529908155.jpg, 8.5, 269492人评价, 我完全康复了。
千钧一发, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.jpg, 8.8, 159943人评价, 一部能引人思考的科幻励志片。
E.T. 外星人, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p984732992.jpg, 8.6, 244755人评价, 生病的E.T.皮肤的颜色就像柿子饼。
撞车, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2075132390.jpg, 8.6, 241912人评价, 天使与魔鬼的冲撞。
网络谜踪, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2542848758.jpg, 8.6, 358369人评价, None
四个春天, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2540578887.jpg, 8.9, 109435人评价, 来也匆匆去也匆匆，就这样风雨兼程。
梦之安魂曲, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2328516855.jpg, 8.7, 158531人评价, 一场没有春天的噩梦。
